#,QUANTITY,PART NUMBER,MANUFACTURER PART NUMBER,DESCRIPTION,CUSTOMER REFERENCE,BACKORDER,UNIT PRICE,EXTENDED PRICE
1,10,1276-1096-1-ND,CL21A106KOQNNNE,CAP CER 10UF 16V X5R 0805,,0,0.07,0.7
2,10,490-13339-1-ND,GRM155R70J105KA12J,CAP CER 1UF 6.3V X7R 0402,,0,0.035,0.35
3,50,1276-1013-1-ND,CL03A104KQ3NNNC,CAP CER 0.1UF 6.3V X5R 0201,,0,0.008,0.4
4,10,490-9658-1-ND,GRM0335C1E150JA01D,CAP CER 15PF 25V C0G/NP0 0201,,0,0.011,0.11
5,142,4878-1N4148WCT-ND,1N4148W,DIODE GEN PURP 75V 150MA SOD123F,,0,0.0378,5.37
6,3,2073-USB4105-GF-ACT-ND,USB4105-GF-A,CONN RCP USB2.0 TYP C 24P SMD RA,,0,0.81,2.43
7,10,311-5.10KHRCT-ND,RC0603FR-075K1L,RES 5.1K OHM 1% 1/10W 0603,,0,0.019,0.19
8,10,311-1.0KJRCT-ND,RC0402JR-071KL,RES 1K OHM 5% 1/16W 0402,,0,0.018,0.18
9,10,YAG3085CT-ND,RC0402FR-0727R4L,RES 27.4 OHM 1% 1/16W 0402,,0,0.015,0.15
10,3,CKN12310-1-ND,PTS636 SM43 SMTR LFS,SWITCH TACTILE SPST-NO 0.05A 12V,,0,0.19,0.57
11,3,488-NCP1117IST33T3GCT-ND,NCP1117IST33T3G,"LDO REGULATOR, 1 A, FIXED AND AD",,0,0.62,1.86
12,3,2648-SC0914(13)CT-ND,SC0914(13),IC MCU 32B EXT MEM 56QFN RP2040,,0,0.7,2.1
13,3,W25Q128JVSIQ-ND,W25Q128JVSIQ,IC FLASH 128MBIT SPI/QUAD 8SOIC,,0,1.73,5.19
14,3,535-9826-1-ND,ABM8-12.000MHZ-B2-T,CRYSTAL 12.0000MHZ 18PF SMD,,0,0.55,1.65
15,1,PEC11R-4215F-S0024-ND,PEC11R-4215F-S0024,ROTARY ENCODER MECHANICAL 24PPR,,0,2.12,2.12
